nombre de coeurs,mesure
2,0.16
2,0.20
2,0.09
2,0.09
2,0.15
4,0.52
4,0.55
4,0.52
4,0.46
4,0.54
8,1.06
8,0.88
8,0.87
8,0.84
8,1.15
16,2.01
16,2.03
16,1.71
16,1.59
16,1.47
32,4.62
32,4.64
32,4.61
32,4.74
32,4.88
64,12.63
64,11.18
64,11.87
64,11.81
64,10.09
