nombre de coeurs,mesure
2,0.11
2,0.11
2,0.11
2,0.11
2,0.11
4,0.05
4,0.05
4,0.05
4,0.05
4,0.05
8,0.06
8,0.02
8,0.26
8,0.16
8,0.82
16,0.01
16,0.01
16,0.01
16,0.01
16,0.01
32,0.02
32,0.04
32,0.05
32,0.12
32,0.05
64,0.11
64,0.15
64,0.06
64,0.24
64,0.09
