nombre de coeurs,mesure
1,0.07
1,0.07
1,0.07
1,0.07
1,0.07
2,0.07
2,0.07
2,0.07
2,0.07
2,0.07
4,0.07
4,0.07
4,0.08
4,0.07
4,0.07
8,0.07
8,0.07
8,0.07
8,0.07
8,0.07
16,0.07
16,0.07
16,0.07
16,0.07
16,0.07
32,0.09
32,0.09
32,0.11
32,0.07
32,0.07
64,0.13
64,0.07
64,0.08
64,0.07
64,0.08
