nombre de coeurs,mesure
2,2.82
2,3.30
2,3.56
2,2.39
2,3.22
4,3.33
4,3.39
4,3.50
4,3.33
4,3.62
8,5.03
8,5.16
8,5.18
8,5.17
8,5.40
16,6.13
16,6.02
16,5.92
16,5.94
16,6.16
32,11.07
32,11.14
32,11.07
32,11.14
32,11.28
64,19.85
64,21.18
64,21.88
64,20.11
64,19.55
