nombre de coeurs,mesure
2,0.06
2,0.06
2,0.06
2,0.06
2,0.06
4,0.04
4,0.03
4,0.03
4,0.03
4,0.03
8,0.02
8,0.02
8,0.02
8,0.02
8,0.02
16,0.02
16,0.01
16,0.01
16,0.02
16,0.02
32,0.01
32,0.01
32,0.01
32,0.01
32,0.01
64,0.02
64,0.01
64,0.01
64,0.01
64,0.01
