nombre de coeurs,mesure
2,0.21
2,0.20
2,0.20
2,0.21
2,0.19
4,0.60
4,0.61
4,0.52
4,0.59
4,0.57
8,1.08
8,1.12
8,1.02
8,1.10
8,1.07
16,3.31
16,3.18
16,3.14
16,3.82
16,4.47
